year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
1965,AF,AF,10.724018,4.3673482,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1987,AF,AF,12.022997,3.1657293,10.778749,32.430206,Afghanistan,AFG,4.464703638627692,2326.325698954873,,,,,7.4565182,0,0,0,0,1,0,AF
1951,AF,AF,10.768174,3.4265084,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
2002,AG,AG,17.665262,4.5952187,16.783577,47.550648,Algeria,DZA,11.69875712382579,5723.292231872144,8635.613857,10.00359821,27000000000,139000000000,8.2682076,1,0,0,0,0,0,AG
1979,AG,AG,16.294674,6.0830898,16.783577,47.550648,Algeria,DZA,22.51268584278352,5280.652455511759,8855.879537999999,9.016628265,11400000000,88600000000,8.2682076,1,0,0,0,0,0,AG
1968,AG,AG,16.769974,4.6317935,16.783577,47.550648,Algeria,DZA,10.54808336556452,4017.483650498054,5948.444386,10.85337448,6400000000,53700000000,8.2682076,1,0,0,0,0,0,AG
2004,AG,AG,17.289848,5.5513859,16.783577,47.550648,Algeria,DZA,,,9418.893457,10.18849373,33300000000,155000000000,8.2682076,1,0,0,0,0,0,AG
1990,AG,AG,17.418686,4.8660374,16.783577,47.550648,Algeria,DZA,14.63292976393083,5569.902461037912,8441.787553,11.35826778,17000000000,113000000000,8.2682076,1,0,0,0,0,0,AG
1999,AG,AG,17.781616,5.2003636,16.783577,47.550648,Algeria,DZA,10.84829796184337,5610.980770597748,8219.439452000001,12.20107841,25400000000,128000000000,8.2682076,1,0,0,0,0,0,AG
1963,AG,AG,16.652731,5.9517674,16.783577,47.550648,Algeria,DZA,13.38376162725536,3284.258330513605,5195.839163,,6090000000,32300000000,8.2682076,1,0,0,0,0,0,AG
1954,AG,AG,16.458122,6.0232325,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1972,AG,AG,15.803469,6.7569981,16.783577,47.550648,Algeria,DZA,12.85909102205524,4621.212479251807,7034.118442,8.420845032000001,6790000000,75800000000,8.2682076,1,0,0,0,0,0,AG
1994,AG,AG,17.748486,4.0273204,16.783577,47.550648,Algeria,DZA,11.61474469625453,5227.728889931101,7511.129908,10.05843639,18000000000,107000000000,8.2682076,1,0,0,0,0,0,AG
1975,AG,AG,15.823954,5.2257504,16.783577,47.550648,Algeria,DZA,25.37485695856824,3987.896943894891,7515.977938,10.41840839,10400000000,62700000000,8.2682076,1,0,0,0,0,0,AG
2001,AG,AG,18.1311,3.9677751,16.783577,47.550648,Algeria,DZA,10.00134659309074,5726.032885131505,8372.935437,10.40756035,27300000000,133000000000,8.2682076,1,0,0,0,0,0,AG
2005,AG,AG,17.143627,4.3776836,16.783577,47.550648,Algeria,DZA,,,9768.291222,8.459343909999999,33900000000,163000000000,8.2682076,1,0,0,0,0,0,AG
